cifname,Fraction,Surface,Volume,Diameter,O2absolute
H6_HECO_NH2_H_H_H-L2_203_CHO_H_H-HXL_A-AA,0.2342,1880.52,0.246351,8.11337,3.641
H6_HECO_NH2_H_H_H-L2_213_CHO_H_H-HXL_A-AA,0.17896,1667.09,0.177944,7.01321,3.229
H6_HECO_NH2_H_H_H-L2_216_CHO_H_H-HXL_A-AA,0.14924,1508.34,0.137353,6.10826,3.314
H6_HECO_NH2_H_H_H-L2_211_CHO_H_H-HXL_A-AA,0.05832,923.229,0.0453215,5.2841,2.276
H6_HEXB_NH2_H_H_H_H-L2_209_CHO_H_H-HXL_A-AA,0.23994,4927.14,0.365791,7.62421,4.948
H6_HEXB_NH2_H_H_H_H-L2_213_CHO_H_H-HXL_A-AA,0.26156,4727.98,0.415633,8.11086,3.045
H6_HEXB_NH2_H_H_H_H-L2_211_CHO_H_H-HXL_A-AA,0.14206,3746.4,0.176686,6.55082,3.173
H6_HEXB_NH2_H_H_H_H-L2_203_CHO_H_H-HXL_A-AA,0.31684,4926.62,0.532718,9.11273,3.567
H6_HEXB_NH2_H_H_H_H-L2_205_CHO_H_H-HXL_A-AA,0.23872,4700.77,0.366341,7.81201,4.014
H6_HEXB_NH2_H_H_H_H-L2_212_CHO_H_H-HXL_A-AA,0.22664,4891.76,0.338505,7.89812,4.478
H6_BENZ6_NH2-L2_208_CHO_H_H-HXL_A-AA,0.0101,423.908,0.00765258,3.69591,0.132
H6_HECO_NH2_H_H_H-L2_207_CHO_H_H-HXL_A-AA,0.22034,1869.58,0.232971,8.11337,2.956
H6_HECO_NH2_H_H_H-L2_217_CHO_H_H-HXL_A-AA,0.17896,1786.68,0.179466,6.95716,5.63
H6_HEXB_NH2_H_H_H_H-L2_204_CHO-HXL_A-AA,0.19614,3718.42,0.277183,7.24876,1.596
H6_HECO_NH2_H_H_H-L2_214_CHO_H_H-HXL_A-AA,0.15236,1452.39,0.140224,6.64308,2.425
H6_HEXB_NH2_H_H_H_H-L2_217_CHO_H_H-HXL_A-AA,0.26222,5004.63,0.420534,8.05901,4.482
H6_HECO_NH2_H_H_H-L2_215_CHO_H_H-HXL_A-AA,0.152,1469.58,0.139893,6.64039,2.629
H6_HEXB_NH2_H_H_H_H-L2_206_CHO_H_H-HXL_A-AA,0.25738,4333.46,0.379401,7.93357,3.028
H6_HEXB_NH2_H_H_H_H-L2_202_CHO_H_H-HXL_A-AA,0.22818,4339.75,0.34382,7.54856,2.72
H6_HEXB_NH2_H_H_H_H-L2_216_CHO_H_H-HXL_A-AA,0.22982,4357.4,0.33783,7.30422,2.576
H6_HEXB_NH2_H_H_H_H-L2_208_CHO_H_H-HXL_A-AA,0.30432,5046.21,0.519683,9.11273,3.58
H6_HECO_NH2_H_H_H-L2_205_CHO_H_H-HXL_A-AA,0.15148,1725.43,0.145435,6.67923,4.777
H6_HEXB_NH2_H_H_H_H-L2_210_CHO_H_H-HXL_A-AA,0.22498,4295.26,0.331779,7.30422,2.696
H6_HECO_NH2_H_H_H-L2_201_CHO_H_H-HXL_A-AA,0.22598,1628.72,0.219409,8.0498,3.14
H6_HECO_NH2_H_H_H-L2_204_CHO-HXL_A-AA,0.12494,1325.76,0.110814,6.04674,1.911
H6_HECO_NH2_H_H_H-L2_210_CHO_H_H-HXL_A-AA,0.1439,1513.78,0.13287,6.10826,3.129
H6_HECO_NH2_H_H_H-L2_208_CHO_H_H-HXL_A-AA,0.22006,1885.99,0.235142,8.11337,3.295
H6_HEXB_NH2_H_H_H_H-L2_214_CHO_H_H-HXL_A-AA,0.2331,4290.66,0.342652,7.71875,2.422
H6_HECO_NH2_H_H_H-L2_212_CHO_H_H-HXL_A-AA,0.13782,1682.24,0.128627,6.77792,5.328
H6_BENZ6_NH2-L2_207_CHO_H_H-HXL_A-AA,0.01012,417.271,0.00753593,3.69591,0.093
H6_HECO_NH2_H_H_H-L2_202_CHO_H_H-HXL_A-AA,0.1465,1532.85,0.138235,6.38418,2.923
H6_BENZ6_NH2-L2_203_CHO_H_H-HXL_A-AA,0.01012,407.313,0.00747261,3.69591,0.069
H6_HEXB_NH2_H_H_H_H-L2_201_CHO_H_H-HXL_A-AA,0.30424,4497.51,0.472554,9.05462,3.18
H6_HECO_NH2_H_H_H-L2_209_CHO_H_H-HXL_A-AA,0.1493,1721.57,0.14225,6.46928,6.461
H6_HECO_NH2_H_H_H-L2_206_CHO_H_H-HXL_A-AA,0.1782,1578.56,0.164275,6.96007,3.314
H6_HEXB_NH2_H_H_H_H-L2_207_CHO_H_H-HXL_A-AA,0.30756,5037.46,0.519762,9.11273,3.24
H6_HEXB_NH2_H_H_H_H-L2_215_CHO_H_H-HXL_A-AA,0.23226,4273.45,0.341417,7.72281,2.403
